,drug,disease,label
0,356.0,99.0,1.0
1,378.0,99.0,1.0
2,449.0,48.0,1.0
3,105.0,135.0,1.0
4,268.0,8.0,1.0
5,455.0,344.0,1.0
6,210.0,152.0,1.0
7,143.0,316.0,1.0
8,118.0,359.0,1.0
9,50.0,380.0,1.0
10,72.0,309.0,1.0
11,510.0,297.0,1.0
12,351.0,184.0,1.0
13,363.0,157.0,1.0
14,593.0,125.0,1.0
15,383.0,358.0,1.0
16,502.0,268.0,1.0
17,275.0,38.0,1.0
18,275.0,356.0,1.0
19,570.0,163.0,1.0
20,207.0,144.0,1.0
21,624.0,11.0,1.0
22,12.0,282.0,1.0
23,564.0,334.0,1.0
24,570.0,124.0,1.0
25,274.0,239.0,1.0
26,455.0,342.0,1.0
27,83.0,3.0,1.0
28,175.0,38.0,1.0
29,622.0,244.0,1.0
30,407.0,124.0,1.0
31,595.0,347.0,1.0
32,25.0,405.0,1.0
33,173.0,183.0,1.0
34,56.0,1.0,1.0
35,288.0,69.0,1.0
36,633.0,402.0,1.0
37,588.0,390.0,1.0
38,256.0,347.0,1.0
39,242.0,1.0,1.0
40,337.0,35.0,1.0
41,523.0,261.0,1.0
42,50.0,289.0,1.0
43,58.0,399.0,1.0
44,592.0,80.0,1.0
45,652.0,371.0,1.0
46,518.0,25.0,1.0
47,121.0,365.0,1.0
48,296.0,40.0,1.0
49,14.0,130.0,1.0
50,303.0,5.0,1.0
51,249.0,194.0,1.0
52,231.0,222.0,1.0
53,354.0,392.0,1.0
54,408.0,7.0,1.0
55,504.0,16.0,1.0
56,50.0,377.0,1.0
57,333.0,128.0,1.0
58,268.0,358.0,1.0
59,455.0,135.0,1.0
60,387.0,196.0,1.0
61,343.0,347.0,1.0
62,556.0,19.0,1.0
63,513.0,131.0,1.0
64,24.0,125.0,1.0
65,93.0,60.0,1.0
66,104.0,99.0,1.0
67,148.0,344.0,1.0
68,25.0,124.0,1.0
69,644.0,11.0,1.0
70,523.0,28.0,1.0
71,551.0,312.0,1.0
72,241.0,186.0,1.0
73,185.0,407.0,1.0
74,369.0,196.0,1.0
75,403.0,265.0,1.0
76,138.0,364.0,1.0
77,40.0,64.0,1.0
78,224.0,22.0,1.0
79,119.0,124.0,1.0
80,520.0,297.0,1.0
81,149.0,36.0,1.0
82,333.0,181.0,1.0
83,309.0,325.0,1.0
84,552.0,33.0,1.0
85,581.0,278.0,1.0
86,88.0,68.0,1.0
87,214.0,405.0,1.0
88,288.0,334.0,1.0
89,650.0,359.0,1.0
90,578.0,183.0,1.0
91,193.0,49.0,1.0
92,351.0,352.0,1.0
93,217.0,405.0,1.0
94,591.0,145.0,1.0
95,248.0,67.0,1.0
96,1.0,319.0,1.0
97,438.0,20.0,1.0
98,413.0,273.0,1.0
99,47.0,314.0,1.0
100,204.0,124.0,1.0
101,470.0,331.0,1.0
102,562.0,99.0,1.0
103,367.0,181.0,1.0
104,304.0,94.0,1.0
105,500.0,1.0,1.0
106,400.0,18.0,1.0
107,19.0,283.0,1.0
108,459.0,147.0,1.0
109,420.0,122.0,1.0
110,275.0,147.0,1.0
111,331.0,163.0,1.0
112,164.0,351.0,1.0
113,595.0,358.0,1.0
114,146.0,69.0,1.0
115,296.0,43.0,1.0
116,52.0,322.0,1.0
117,7.0,230.0,1.0
118,105.0,136.0,1.0
119,617.0,135.0,1.0
120,490.0,369.0,1.0
121,244.0,280.0,1.0
122,438.0,280.0,1.0
123,430.0,107.0,1.0
124,98.0,124.0,1.0
125,395.0,347.0,1.0
126,321.0,124.0,1.0
127,443.0,362.0,1.0
128,500.0,133.0,1.0
129,83.0,130.0,1.0
130,153.0,360.0,1.0
131,200.0,69.0,1.0
132,40.0,117.0,1.0
133,312.0,99.0,1.0
134,444.0,124.0,1.0
135,367.0,73.0,1.0
136,547.0,314.0,1.0
137,109.0,73.0,1.0
138,556.0,280.0,1.0
139,242.0,8.0,1.0
140,26.0,221.0,1.0
141,41.0,145.0,1.0
142,209.0,163.0,1.0
143,46.0,243.0,1.0
144,455.0,357.0,1.0
145,315.0,136.0,1.0
146,499.0,43.0,1.0
147,102.0,396.0,1.0
148,387.0,298.0,1.0
149,285.0,188.0,1.0
150,486.0,312.0,1.0
151,242.0,47.0,1.0
152,382.0,274.0,1.0
153,409.0,124.0,1.0
154,16.0,202.0,1.0
155,616.0,183.0,1.0
156,633.0,355.0,1.0
157,81.0,28.0,1.0
158,163.0,254.0,1.0
159,309.0,122.0,1.0
160,184.0,133.0,1.0
161,214.0,94.0,1.0
162,439.0,100.0,1.0
163,329.0,183.0,1.0
164,241.0,257.0,1.0
165,305.0,405.0,1.0
166,61.0,44.0,1.0
167,502.0,93.0,1.0
168,571.0,224.0,1.0
169,611.0,199.0,1.0
170,145.0,312.0,1.0
171,97.0,382.0,1.0
172,252.0,73.0,1.0
173,174.0,85.0,1.0
174,162.0,43.0,1.0
175,477.0,76.0,1.0
176,490.0,357.0,1.0
177,297.0,342.0,1.0
178,491.0,235.0,1.0
179,574.0,8.0,1.0
180,150.0,183.0,1.0
181,356.0,89.0,1.0
182,521.0,362.0,1.0
183,223.0,131.0,1.0
184,315.0,344.0,1.0
185,519.0,49.0,1.0
186,98.0,405.0,1.0
187,275.0,175.0,1.0
188,83.0,132.0,1.0
189,422.0,18.0,1.0
190,90.0,272.0,1.0
191,161.0,135.0,1.0
192,101.0,89.0,1.0
193,252.0,128.0,1.0
194,625.0,371.0,1.0
195,19.0,220.0,1.0
196,246.0,163.0,1.0
197,2.0,107.0,1.0
198,478.0,119.0,1.0
199,248.0,138.0,1.0
200,288.0,68.0,1.0
201,382.0,280.0,1.0
202,351.0,385.0,1.0
203,227.0,280.0,1.0
204,72.0,364.0,1.0
205,143.0,182.0,1.0
206,575.0,140.0,1.0
207,308.0,117.0,1.0
208,293.0,359.0,1.0
209,307.0,124.0,1.0
210,267.0,280.0,1.0
211,402.0,251.0,1.0
212,489.0,247.0,1.0
213,464.0,3.0,1.0
214,70.0,280.0,1.0
215,315.0,134.0,1.0
216,493.0,375.0,1.0
217,275.0,362.0,1.0
218,114.0,21.0,1.0
219,657.0,343.0,1.0
220,475.0,318.0,1.0
221,451.0,322.0,1.0
222,315.0,370.0,1.0
223,298.0,24.0,1.0
224,91.0,99.0,1.0
225,275.0,186.0,1.0
226,369.0,228.0,1.0
227,660.0,331.0,1.0
228,117.0,358.0,1.0
229,625.0,359.0,1.0
230,306.0,331.0,1.0
231,356.0,117.0,1.0
232,69.0,27.0,1.0
233,90.0,114.0,1.0
234,454.0,124.0,1.0
235,430.0,89.0,1.0
236,37.0,405.0,1.0
237,536.0,131.0,1.0
238,450.0,331.0,1.0
239,455.0,37.0,1.0
240,169.0,152.0,1.0
241,284.0,25.0,1.0
242,232.0,351.0,1.0
243,305.0,219.0,1.0
244,72.0,136.0,1.0
245,479.0,18.0,1.0
246,292.0,405.0,1.0
247,485.0,28.0,1.0
248,104.0,243.0,1.0
249,293.0,358.0,1.0
250,150.0,358.0,1.0
251,422.0,298.0,1.0
252,133.0,153.0,1.0
253,185.0,108.0,1.0
254,228.0,405.0,1.0
255,104.0,81.0,1.0
256,159.0,149.0,1.0
257,93.0,58.0,1.0
258,383.0,396.0,1.0
259,570.0,162.0,1.0
260,29.0,160.0,1.0
261,142.0,37.0,1.0
262,70.0,224.0,1.0
263,290.0,88.0,1.0
264,273.0,132.0,1.0
265,147.0,404.0,1.0
266,503.0,358.0,1.0
267,82.0,99.0,1.0
268,310.0,108.0,1.0
269,305.0,112.0,1.0
270,84.0,362.0,1.0
271,413.0,385.0,1.0
272,551.0,135.0,1.0
273,397.0,177.0,1.0
274,412.0,28.0,1.0
275,596.0,24.0,1.0
276,598.0,239.0,1.0
277,652.0,359.0,1.0
278,247.0,392.0,1.0
279,493.0,243.0,1.0
280,578.0,371.0,1.0
281,110.0,40.0,1.0
282,569.0,386.0,1.0
283,5.0,128.0,1.0
284,358.0,397.0,1.0
285,587.0,147.0,1.0
286,22.0,93.0,1.0
287,180.0,71.0,1.0
288,392.0,396.0,1.0
289,418.0,347.0,1.0
290,481.0,190.0,1.0
291,357.0,94.0,1.0
292,349.0,277.0,1.0
293,535.0,124.0,1.0
294,599.0,294.0,1.0
295,511.0,359.0,1.0
296,277.0,100.0,1.0
297,545.0,99.0,1.0
298,461.0,388.0,1.0
299,430.0,103.0,1.0
300,253.0,358.0,1.0
301,567.0,124.0,1.0
302,377.0,369.0,1.0
303,596.0,114.0,1.0
304,514.0,124.0,1.0
305,257.0,199.0,1.0
306,255.0,99.0,1.0
307,334.0,99.0,1.0
308,211.0,89.0,1.0
309,204.0,94.0,1.0
310,377.0,391.0,1.0
311,109.0,266.0,1.0
312,138.0,390.0,1.0
313,358.0,387.0,1.0
314,73.0,146.0,1.0
315,643.0,312.0,1.0
316,526.0,28.0,1.0
317,482.0,94.0,1.0
318,351.0,313.0,1.0
319,90.0,113.0,1.0
320,90.0,239.0,1.0
321,248.0,1.0,1.0
322,501.0,100.0,1.0
323,275.0,165.0,1.0
324,328.0,347.0,1.0
325,244.0,245.0,1.0
326,569.0,388.0,1.0
327,66.0,8.0,1.0
328,213.0,247.0,1.0
329,333.0,376.0,1.0
330,100.0,117.0,1.0
331,393.0,334.0,1.0
332,358.0,52.0,1.0
333,596.0,280.0,1.0
334,430.0,376.0,1.0
335,303.0,243.0,1.0
336,520.0,267.0,1.0
337,268.0,139.0,1.0
338,135.0,325.0,1.0
339,258.0,196.0,1.0
340,9.0,268.0,1.0
341,268.0,156.0,1.0
342,353.0,24.0,1.0
343,346.0,358.0,1.0
344,162.0,318.0,1.0
345,546.0,174.0,1.0
346,148.0,135.0,1.0
347,2.0,244.0,1.0
348,283.0,99.0,1.0
349,226.0,243.0,1.0
350,110.0,43.0,1.0
351,162.0,40.0,1.0
352,409.0,69.0,1.0
353,376.0,43.0,1.0
354,275.0,280.0,1.0
355,99.0,199.0,1.0
356,40.0,99.0,1.0
357,171.0,316.0,1.0
358,461.0,184.0,1.0
359,468.0,265.0,1.0
360,552.0,34.0,1.0
361,461.0,162.0,1.0
362,652.0,362.0,1.0
363,328.0,38.0,1.0
364,595.0,362.0,1.0
365,141.0,36.0,1.0
366,559.0,390.0,1.0
367,80.0,72.0,1.0
368,22.0,282.0,1.0
369,148.0,370.0,1.0
370,176.0,151.0,1.0
371,364.0,124.0,1.0
372,294.0,69.0,1.0
373,226.0,319.0,1.0
374,238.0,199.0,1.0
375,360.0,405.0,1.0
376,86.0,133.0,1.0
377,204.0,405.0,1.0
378,72.0,370.0,1.0
379,293.0,347.0,1.0
380,222.0,8.0,1.0
381,241.0,245.0,1.0
382,533.0,41.0,1.0
383,328.0,359.0,1.0
384,252.0,181.0,1.0
385,206.0,99.0,1.0
386,377.0,342.0,1.0
387,0.0,144.0,1.0
388,414.0,318.0,1.0
389,248.0,405.0,1.0
390,415.0,134.0,1.0
391,213.0,277.0,1.0
392,524.0,371.0,1.0
393,341.0,237.0,1.0
394,630.0,297.0,1.0
395,75.0,289.0,1.0
396,387.0,100.0,1.0
397,615.0,223.0,1.0
398,203.0,318.0,1.0
399,322.0,12.0,1.0
400,468.0,85.0,1.0
401,221.0,245.0,1.0
402,175.0,106.0,1.0
403,318.0,351.0,1.0
404,213.0,257.0,1.0
405,275.0,402.0,1.0
406,506.0,396.0,1.0
407,193.0,149.0,1.0
408,398.0,221.0,1.0
409,464.0,124.0,1.0
410,172.0,340.0,1.0
411,146.0,68.0,1.0
412,19.0,357.0,1.0
413,71.0,21.0,1.0
414,537.0,347.0,1.0
415,252.0,376.0,1.0
416,49.0,210.0,1.0
417,490.0,10.0,1.0
418,161.0,309.0,1.0
419,315.0,364.0,1.0
420,430.0,13.0,1.0
421,608.0,128.0,1.0
422,61.0,280.0,1.0
423,403.0,245.0,1.0
424,514.0,269.0,1.0
425,650.0,347.0,1.0
426,471.0,128.0,1.0
427,356.0,128.0,1.0
428,11.0,73.0,1.0
429,331.0,134.0,1.0
430,506.0,89.0,1.0
431,48.0,129.0,1.0
432,179.0,69.0,1.0
433,566.0,329.0,1.0
434,331.0,212.0,1.0
435,179.0,68.0,1.0
436,130.0,149.0,1.0
437,9.0,310.0,1.0
438,245.0,118.0,1.0
439,188.0,99.0,1.0
440,582.0,28.0,1.0
441,658.0,347.0,1.0
442,502.0,232.0,1.0
443,254.0,259.0,1.0
444,552.0,199.0,1.0
445,280.0,79.0,1.0
446,176.0,239.0,1.0
447,112.0,99.0,1.0
448,423.0,324.0,1.0
449,79.0,157.0,1.0
450,443.0,359.0,1.0
451,574.0,174.0,1.0
452,198.0,130.0,1.0
453,654.0,347.0,1.0
454,210.0,46.0,1.0
455,288.0,124.0,1.0
456,367.0,128.0,1.0
457,161.0,370.0,1.0
458,455.0,354.0,1.0
459,162.0,41.0,1.0
460,653.0,359.0,1.0
461,579.0,322.0,1.0
462,519.0,243.0,1.0
463,540.0,362.0,1.0
464,594.0,405.0,1.0
465,461.0,386.0,1.0
466,455.0,136.0,1.0
467,96.0,280.0,1.0
468,358.0,53.0,1.0
469,62.0,271.0,1.0
470,199.0,181.0,1.0
471,443.0,347.0,1.0
472,154.0,132.0,1.0
473,105.0,370.0,1.0
474,116.0,18.0,1.0
475,359.0,271.0,1.0
476,76.0,124.0,1.0
477,462.0,158.0,1.0
478,170.0,366.0,1.0
479,372.0,325.0,1.0
480,323.0,146.0,1.0
481,417.0,117.0,1.0
482,73.0,405.0,1.0
483,281.0,280.0,1.0
484,319.0,371.0,1.0
485,89.0,76.0,1.0
486,136.0,124.0,1.0
487,110.0,153.0,1.0
488,280.0,80.0,1.0
489,83.0,280.0,1.0
490,86.0,76.0,1.0
491,131.0,18.0,1.0
492,527.0,43.0,1.0
493,446.0,347.0,1.0
494,248.0,382.0,1.0
495,558.0,24.0,1.0
496,501.0,359.0,1.0
497,254.0,309.0,1.0
498,382.0,252.0,1.0
499,596.0,144.0,1.0
500,238.0,0.0,1.0
501,433.0,347.0,1.0
502,662.0,339.0,1.0
503,358.0,163.0,1.0
504,498.0,292.0,1.0
505,227.0,239.0,1.0
506,660.0,345.0,1.0
507,275.0,355.0,1.0
508,326.0,262.0,1.0
509,163.0,383.0,1.0
510,377.0,37.0,1.0
511,131.0,163.0,1.0
512,506.0,120.0,1.0
513,308.0,289.0,1.0
514,109.0,236.0,1.0
515,210.0,149.0,1.0
516,348.0,212.0,1.0
517,634.0,347.0,1.0
518,358.0,313.0,1.0
519,574.0,311.0,1.0
520,443.0,371.0,1.0
521,638.0,170.0,1.0
522,455.0,10.0,1.0
523,387.0,356.0,1.0
524,312.0,305.0,1.0
525,470.0,280.0,1.0
526,12.0,268.0,1.0
527,442.0,88.0,1.0
528,356.0,103.0,1.0
529,433.0,371.0,1.0
530,470.0,246.0,1.0
531,591.0,269.0,1.0
532,19.0,366.0,1.0
533,453.0,272.0,1.0
534,581.0,112.0,1.0
535,400.0,145.0,1.0
536,571.0,44.0,1.0
537,343.0,362.0,1.0
538,362.0,298.0,1.0
539,227.0,331.0,1.0
540,94.0,153.0,1.0
541,312.0,311.0,1.0
542,336.0,199.0,1.0
543,486.0,259.0,1.0
544,624.0,316.0,1.0
545,652.0,347.0,1.0
546,166.0,344.0,1.0
547,402.0,182.0,1.0
548,600.0,88.0,1.0
549,93.0,213.0,1.0
550,271.0,231.0,1.0
551,501.0,396.0,1.0
552,245.0,117.0,1.0
553,387.0,97.0,1.0
554,263.0,141.0,1.0
555,496.0,149.0,1.0
556,254.0,370.0,1.0
557,486.0,364.0,1.0
558,316.0,133.0,1.0
559,305.0,278.0,1.0
560,19.0,174.0,1.0
561,547.0,131.0,1.0
562,72.0,312.0,1.0
563,551.0,390.0,1.0
564,455.0,408.0,1.0
565,230.0,244.0,1.0
566,343.0,371.0,1.0
567,35.0,297.0,1.0
568,573.0,69.0,1.0
569,213.0,151.0,1.0
570,642.0,399.0,1.0
571,399.0,276.0,1.0
572,103.0,379.0,1.0
573,244.0,277.0,1.0
574,275.0,245.0,1.0
575,310.0,407.0,1.0
576,555.0,345.0,1.0
577,620.0,351.0,1.0
578,115.0,362.0,1.0
579,401.0,130.0,1.0
580,166.0,370.0,1.0
581,177.0,24.0,1.0
582,75.0,378.0,1.0
583,19.0,9.0,1.0
584,170.0,359.0,1.0
585,471.0,376.0,1.0
586,227.0,272.0,1.0
587,343.0,222.0,1.0
588,576.0,336.0,1.0
589,498.0,295.0,1.0
590,401.0,3.0,1.0
591,307.0,251.0,1.0
592,528.0,244.0,1.0
593,643.0,370.0,1.0
594,226.0,323.0,1.0
595,14.0,61.0,1.0
596,63.0,37.0,1.0
597,136.0,69.0,1.0
598,142.0,357.0,1.0
599,150.0,322.0,1.0
600,390.0,359.0,1.0
601,275.0,156.0,1.0
602,369.0,199.0,1.0
603,488.0,247.0,1.0
604,407.0,316.0,1.0
605,201.0,382.0,1.0
606,446.0,359.0,1.0
607,643.0,390.0,1.0
608,548.0,190.0,1.0
609,146.0,89.0,1.0
610,447.0,83.0,1.0
611,461.0,352.0,1.0
612,357.0,401.0,1.0
613,11.0,128.0,1.0
614,413.0,388.0,1.0
615,625.0,347.0,1.0
616,478.0,167.0,1.0
617,363.0,36.0,1.0
618,314.0,181.0,1.0
619,110.0,318.0,1.0
620,282.0,92.0,1.0
621,239.0,358.0,1.0
622,505.0,272.0,1.0
623,576.0,328.0,1.0
624,383.0,371.0,1.0
625,559.0,309.0,1.0
626,52.0,188.0,1.0
627,178.0,163.0,1.0
628,553.0,125.0,1.0
629,170.0,368.0,1.0
630,588.0,134.0,1.0
631,455.0,369.0,1.0
632,472.0,400.0,1.0
633,375.0,362.0,1.0
634,658.0,358.0,1.0
635,35.0,267.0,1.0
636,99.0,8.0,1.0
637,113.0,125.0,1.0
638,146.0,396.0,1.0
639,301.0,404.0,1.0
640,72.0,259.0,1.0
641,161.0,344.0,1.0
642,102.0,89.0,1.0
643,413.0,293.0,1.0
644,387.0,5.0,1.0
645,584.0,115.0,1.0
646,511.0,347.0,1.0
647,319.0,358.0,1.0
648,453.0,237.0,1.0
649,230.0,243.0,1.0
650,447.0,79.0,1.0
651,576.0,373.0,1.0
652,194.0,7.0,1.0
653,272.0,84.0,1.0
654,518.0,144.0,1.0
655,572.0,112.0,1.0
656,209.0,18.0,1.0
657,275.0,371.0,1.0
658,427.0,267.0,1.0
659,170.0,347.0,1.0
660,97.0,404.0,1.0
661,400.0,401.0,1.0
662,263.0,99.0,1.0
663,486.0,390.0,1.0
664,239.0,99.0,1.0
665,330.0,76.0,1.0
666,375.0,347.0,1.0
667,266.0,21.0,1.0
668,456.0,24.0,1.0
669,237.0,181.0,1.0
670,153.0,158.0,1.0
671,1.0,299.0,1.0
672,36.0,128.0,1.0
673,154.0,360.0,1.0
674,437.0,48.0,1.0
675,420.0,99.0,1.0
676,242.0,149.0,1.0
677,326.0,210.0,1.0
678,166.0,364.0,1.0
679,36.0,99.0,1.0
680,388.0,99.0,1.0
681,575.0,24.0,1.0
682,405.0,99.0,1.0
683,238.0,365.0,1.0
684,397.0,188.0,1.0
685,139.0,28.0,1.0
686,268.0,147.0,1.0
687,297.0,354.0,1.0
688,371.0,7.0,1.0
689,451.0,183.0,1.0
690,258.0,405.0,1.0
691,594.0,124.0,1.0
692,580.0,125.0,1.0
693,120.0,311.0,1.0
694,493.0,376.0,1.0
695,88.0,124.0,1.0
696,148.0,364.0,1.0
697,269.0,405.0,1.0
698,168.0,224.0,1.0
699,154.0,341.0,1.0
700,569.0,199.0,1.0
701,147.0,382.0,1.0
702,42.0,404.0,1.0
703,326.0,67.0,1.0
704,275.0,5.0,1.0
705,203.0,40.0,1.0
706,330.0,64.0,1.0
707,384.0,280.0,1.0
708,23.0,328.0,1.0
709,301.0,308.0,1.0
710,93.0,59.0,1.0
711,452.0,11.0,1.0
712,1.0,39.0,1.0
713,324.0,43.0,1.0
714,189.0,174.0,1.0
715,462.0,257.0,1.0
716,268.0,27.0,1.0
717,83.0,2.0,1.0
718,541.0,112.0,1.0
719,440.0,124.0,1.0
720,335.0,359.0,1.0
721,163.0,215.0,1.0
722,169.0,210.0,1.0
723,215.0,405.0,1.0
724,358.0,51.0,1.0
725,397.0,196.0,1.0
726,268.0,347.0,1.0
727,329.0,322.0,1.0
728,56.0,99.0,1.0
729,413.0,387.0,1.0
730,402.0,124.0,1.0
731,186.0,128.0,1.0
732,24.0,378.0,1.0
733,493.0,128.0,1.0
734,86.0,378.0,1.0
735,12.0,93.0,1.0
736,117.0,347.0,1.0
737,136.0,289.0,1.0
738,157.0,371.0,1.0
739,255.0,146.0,1.0
740,135.0,174.0,1.0
