,drug,disease,label
0,29.0,272.0,1.0
1,225.0,16.0,1.0
2,259.0,71.0,1.0
3,570.0,162.0,1.0
4,433.0,66.0,1.0
5,211.0,210.0,1.0
6,481.0,35.0,1.0
7,232.0,272.0,1.0
8,394.0,230.0,1.0
9,146.0,130.0,1.0
10,23.0,273.0,1.0
11,239.0,108.0,1.0
12,36.0,1.0,1.0
13,16.0,200.0,1.0
14,156.0,73.0,1.0
15,522.0,97.0,1.0
16,227.0,142.0,1.0
17,379.0,86.0,1.0
18,517.0,108.0,1.0
19,519.0,262.0,1.0
20,496.0,73.0,1.0
21,470.0,168.0,1.0
22,106.0,86.0,1.0
23,133.0,78.0,1.0
24,456.0,215.0,1.0
25,519.0,300.0,1.0
26,125.0,151.0,1.0
27,333.0,300.0,1.0
28,296.0,305.0,1.0
29,80.0,69.0,1.0
30,100.0,245.0,1.0
31,348.0,35.0,1.0
32,477.0,312.0,1.0
33,86.0,86.0,1.0
34,84.0,233.0,1.0
35,316.0,136.0,1.0
36,575.0,230.0,1.0
37,296.0,293.0,1.0
38,437.0,108.0,1.0
39,245.0,75.0,1.0
40,194.0,160.0,1.0
41,259.0,141.0,1.0
42,531.0,142.0,1.0
43,363.0,269.0,1.0
44,190.0,82.0,1.0
45,292.0,5.0,1.0
46,423.0,301.0,1.0
47,524.0,13.0,1.0
48,391.0,66.0,1.0
49,151.0,119.0,1.0
50,460.0,193.0,1.0
51,245.0,288.0,1.0
52,485.0,35.0,1.0
53,89.0,16.0,1.0
54,537.0,79.0,1.0
55,284.0,86.0,1.0
56,138.0,79.0,1.0
57,511.0,108.0,1.0
58,545.0,241.0,1.0
59,274.0,5.0,1.0
60,393.0,86.0,1.0
61,328.0,303.0,1.0
62,211.0,86.0,1.0
63,519.0,248.0,1.0
64,455.0,34.0,1.0
65,298.0,109.0,1.0
66,328.0,308.0,1.0
67,333.0,45.0,1.0
68,400.0,102.0,1.0
69,203.0,108.0,1.0
70,281.0,82.0,1.0
71,117.0,102.0,1.0
72,333.0,163.0,1.0
73,257.0,116.0,1.0
74,367.0,237.0,1.0
75,485.0,37.0,1.0
76,443.0,149.0,1.0
77,75.0,217.0,1.0
78,257.0,90.0,1.0
79,464.0,277.0,1.0
80,34.0,31.0,1.0
81,252.0,22.0,1.0
82,341.0,160.0,1.0
83,225.0,19.0,1.0
84,477.0,108.0,1.0
85,519.0,302.0,1.0
86,286.0,82.0,1.0
87,78.0,113.0,1.0
