dataset,fold,best_epoch,best_auc,best_aupr,best_accuracy,best_precision,best_recall,best_f1,best_mcc,best_model_path_0_index,best_model_path_1_index
B-dataset,0,934,0.9203952650249163,0.9200101592354566,0.8428338762214984,0.8430200977729495,0.8425624321389794,0.842791202823785,0.6856678534856108,Result/B-dataset/AMNTDDA/best_fold_0.pt,Result/B-dataset/AMNTDDA/best_fold_1.pt
B-dataset,1,721,0.9116026577352426,0.9059707217131716,0.8379478827361564,0.8200514138817481,0.8659066232356135,0.8423554264589386,0.6769549334511398,Result/B-dataset/AMNTDDA/best_fold_1.pt,Result/B-dataset/AMNTDDA/best_fold_2.pt
B-dataset,2,741,0.9232254103509104,0.921611772112918,0.8457778984523486,0.8391906283280085,0.8555917480998915,0.8473118279569893,0.6916863233868514,Result/B-dataset/AMNTDDA/best_fold_2.pt,Result/B-dataset/AMNTDDA/best_fold_3.pt
B-dataset,3,817,0.9124581775589319,0.908413792198532,0.8338311159380939,0.8310010764262648,0.8382193268186754,0.8345945945945945,0.6676866261969042,Result/B-dataset/AMNTDDA/best_fold_3.pt,Result/B-dataset/AMNTDDA/best_fold_4.pt
B-dataset,4,909,0.912372217808737,0.9126422803430583,0.8370893293510725,0.8400876232201533,0.8327904451682954,0.836423118865867,0.6742048519675058,Result/B-dataset/AMNTDDA/best_fold_4.pt,Result/B-dataset/AMNTDDA/best_fold_5.pt
B-dataset,5,853,0.9204008289881639,0.9170594086977663,0.8460494162367636,0.8328981723237598,0.8659066232356135,0.8490817141336172,0.6926399481175359,Result/B-dataset/AMNTDDA/best_fold_5.pt,Result/B-dataset/AMNTDDA/best_fold_6.pt
B-dataset,6,574,0.9156503363783431,0.9102867545905725,0.847135487374423,0.8507135016465422,0.841933731667572,0.8463008463008463,0.6943070529564764,Result/B-dataset/AMNTDDA/best_fold_6.pt,Result/B-dataset/AMNTDDA/best_fold_7.pt
B-dataset,7,790,0.9139233268517029,0.9059249879273867,0.8460494162367636,0.8454446854663774,0.8468223791417708,0.8461329715061058,0.6920998643813203,Result/B-dataset/AMNTDDA/best_fold_7.pt,Result/B-dataset/AMNTDDA/best_fold_8.pt
B-dataset,8,281,0.9144346620381101,0.9131515955437676,0.8311159380939451,0.8395543175487465,0.8185768604019554,0.8289328932893288,0.6624362697006463,Result/B-dataset/AMNTDDA/best_fold_8.pt,Result/B-dataset/AMNTDDA/best_fold_9.pt
B-dataset,9,710,0.9204475686808085,0.9145410334949262,0.84251968503937,0.8355508249068654,0.8527973927213471,0.8440860215053764,0.6851870078413921,Result/B-dataset/AMNTDDA/best_fold_9.pt,Result/B-dataset/AMNTDDA/best_fold_10.pt
