dataset,fold,best_epoch,best_auc,best_aupr,best_accuracy,best_precision,best_recall,best_f1,best_mcc,best_model_path_0_index,best_model_path_1_index
C-dataset,0,182,0.9602953533970309,0.9631193157370289,0.8856015779092702,0.85,0.937007874015748,0.8913857677902622,0.7752460018630589,Result/C-dataset/AMNTDDA/best_fold_0.pt,Result/C-dataset/AMNTDDA/best_fold_1.pt
C-dataset,1,130,0.9486866266222651,0.9519953410930726,0.8717948717948718,0.8292682926829268,0.937007874015748,0.8798521256931607,0.7499074195267585,Result/C-dataset/AMNTDDA/best_fold_1.pt,Result/C-dataset/AMNTDDA/best_fold_2.pt
C-dataset,2,171,0.9641623354392954,0.9680821744357727,0.9013806706114399,0.8773234200743495,0.932806324110672,0.9042145593869733,0.8043885487426697,Result/C-dataset/AMNTDDA/best_fold_2.pt,Result/C-dataset/AMNTDDA/best_fold_3.pt
C-dataset,3,464,0.969383150228751,0.9686020629935412,0.9151873767258383,0.8860294117647058,0.9525691699604744,0.9180952380952381,0.8327407899074861,Result/C-dataset/AMNTDDA/best_fold_3.pt,Result/C-dataset/AMNTDDA/best_fold_4.pt
C-dataset,4,212,0.9637394741364496,0.9661869550005329,0.8932806324110671,0.8726591760299626,0.9209486166007905,0.8961538461538462,0.7877682901157044,Result/C-dataset/AMNTDDA/best_fold_4.pt,Result/C-dataset/AMNTDDA/best_fold_5.pt
C-dataset,5,561,0.9680669905794498,0.9654344348629958,0.9071146245059288,0.90234375,0.9130434782608695,0.9076620825147347,0.8142864974933577,Result/C-dataset/AMNTDDA/best_fold_5.pt,Result/C-dataset/AMNTDDA/best_fold_6.pt
C-dataset,6,257,0.9696136480807387,0.9744069084157714,0.8952569169960475,0.8759398496240601,0.9209486166007905,0.8978805394990366,0.7915594835766294,Result/C-dataset/AMNTDDA/best_fold_6.pt,Result/C-dataset/AMNTDDA/best_fold_7.pt
C-dataset,7,333,0.9641144214094893,0.9679949985758645,0.9150197628458498,0.91015625,0.9209486166007905,0.9155206286836935,0.8300978857941995,Result/C-dataset/AMNTDDA/best_fold_7.pt,Result/C-dataset/AMNTDDA/best_fold_8.pt
C-dataset,8,841,0.9700042181568217,0.9719509692123788,0.9011857707509882,0.8830188679245283,0.924901185770751,0.9034749034749036,0.8032756082507524,Result/C-dataset/AMNTDDA/best_fold_8.pt,Result/C-dataset/AMNTDDA/best_fold_9.pt
C-dataset,9,540,0.9689653017544408,0.9706482822782708,0.9150197628458498,0.9038461538461539,0.9288537549407114,0.9161793372319689,0.8303574130432463,Result/C-dataset/AMNTDDA/best_fold_9.pt,Result/C-dataset/AMNTDDA/best_fold_10.pt
