dataset,fold,best_epoch,best_auc,best_aupr,best_accuracy,best_precision,best_recall,best_f1,best_mcc,best_model_path_0_index,best_model_path_1_index
F-dataset,0,94,0.9539554510976977,0.9578812603801212,0.8837209302325582,0.8669950738916257,0.9072164948453608,0.8866498740554156,0.7682439981743288,Result/F-dataset/AMNTDDA/best_fold_0.pt,Result/F-dataset/AMNTDDA/best_fold_1.pt
F-dataset,1,238,0.9447144917472358,0.9542484327815367,0.8630490956072352,0.8341232227488151,0.9072164948453608,0.8691358024691358,0.7288537847101997,Result/F-dataset/AMNTDDA/best_fold_1.pt,Result/F-dataset/AMNTDDA/best_fold_2.pt
F-dataset,2,102,0.9539020351476952,0.9513617657882492,0.8552971576227391,0.8165137614678899,0.9175257731958762,0.8640776699029126,0.7160321882156341,Result/F-dataset/AMNTDDA/best_fold_2.pt,Result/F-dataset/AMNTDDA/best_fold_3.pt
F-dataset,3,151,0.9598445595854923,0.9597799379213259,0.9121447028423773,0.8840579710144928,0.9481865284974094,0.9149999999999999,0.826486348940647,Result/F-dataset/AMNTDDA/best_fold_3.pt,Result/F-dataset/AMNTDDA/best_fold_4.pt
F-dataset,4,192,0.9524464505101223,0.9543326960185389,0.8785529715762274,0.8578431372549019,0.9067357512953368,0.8816120906801007,0.758366027760855,Result/F-dataset/AMNTDDA/best_fold_4.pt,Result/F-dataset/AMNTDDA/best_fold_5.pt
F-dataset,5,181,0.9446210138347311,0.9479644460905127,0.8733850129198967,0.8711340206185567,0.8756476683937824,0.8733850129198967,0.7467816890123391,Result/F-dataset/AMNTDDA/best_fold_5.pt,Result/F-dataset/AMNTDDA/best_fold_6.pt
F-dataset,6,156,0.9535826465140003,0.9535928985156684,0.8782383419689119,0.8476190476190476,0.9222797927461139,0.8833746898263027,0.7594284704510371,Result/F-dataset/AMNTDDA/best_fold_6.pt,Result/F-dataset/AMNTDDA/best_fold_7.pt
F-dataset,7,209,0.9614217831351177,0.9656916723266987,0.8963730569948186,0.9090909090909091,0.8808290155440415,0.894736842105263,0.7931294741230491,Result/F-dataset/AMNTDDA/best_fold_7.pt,Result/F-dataset/AMNTDDA/best_fold_8.pt
F-dataset,8,432,0.9673279819592473,0.9685155922132661,0.8989637305699482,0.885,0.917098445595855,0.900763358778626,0.7984528049424274,Result/F-dataset/AMNTDDA/best_fold_8.pt,Result/F-dataset/AMNTDDA/best_fold_9.pt
F-dataset,9,224,0.9490456119627373,0.9529373134857484,0.8678756476683938,0.8349056603773585,0.917098445595855,0.8740740740740741,0.7393427010402116,Result/F-dataset/AMNTDDA/best_fold_9.pt,Result/F-dataset/AMNTDDA/best_fold_10.pt
