,drug,disease,label
0,356.0,99.0,1.0
1,378.0,99.0,1.0
2,449.0,48.0,1.0
3,105.0,135.0,1.0
4,268.0,8.0,1.0
5,455.0,344.0,1.0
6,210.0,152.0,1.0
7,143.0,316.0,1.0
8,118.0,359.0,1.0
9,50.0,380.0,1.0
10,72.0,309.0,1.0
11,510.0,297.0,1.0
12,351.0,184.0,1.0
13,363.0,157.0,1.0
14,593.0,125.0,1.0
15,383.0,358.0,1.0
16,502.0,268.0,1.0
17,275.0,38.0,1.0
18,275.0,356.0,1.0
19,570.0,163.0,1.0
20,207.0,144.0,1.0
21,624.0,11.0,1.0
22,12.0,282.0,1.0
23,564.0,334.0,1.0
24,570.0,124.0,1.0
25,274.0,239.0,1.0
26,455.0,342.0,1.0
27,83.0,3.0,1.0
28,175.0,38.0,1.0
29,622.0,244.0,1.0
30,407.0,124.0,1.0
31,595.0,347.0,1.0
32,25.0,405.0,1.0
33,173.0,183.0,1.0
34,56.0,1.0,1.0
35,288.0,69.0,1.0
36,633.0,402.0,1.0
37,588.0,390.0,1.0
38,256.0,347.0,1.0
39,242.0,1.0,1.0
40,337.0,35.0,1.0
41,523.0,261.0,1.0
42,50.0,289.0,1.0
43,58.0,399.0,1.0
44,592.0,80.0,1.0
45,652.0,371.0,1.0
46,518.0,25.0,1.0
47,121.0,365.0,1.0
48,296.0,40.0,1.0
49,14.0,130.0,1.0
50,303.0,5.0,1.0
51,249.0,194.0,1.0
52,231.0,222.0,1.0
53,354.0,392.0,1.0
54,408.0,7.0,1.0
55,504.0,16.0,1.0
56,50.0,377.0,1.0
57,333.0,128.0,1.0
58,268.0,358.0,1.0
59,455.0,135.0,1.0
60,387.0,196.0,1.0
61,343.0,347.0,1.0
62,556.0,19.0,1.0
63,513.0,131.0,1.0
64,24.0,125.0,1.0
65,93.0,60.0,1.0
66,104.0,99.0,1.0
67,148.0,344.0,1.0
68,25.0,124.0,1.0
69,644.0,11.0,1.0
70,523.0,28.0,1.0
71,551.0,312.0,1.0
72,241.0,186.0,1.0
73,185.0,407.0,1.0
74,369.0,196.0,1.0
75,403.0,265.0,1.0
76,138.0,364.0,1.0
77,40.0,64.0,1.0
78,224.0,22.0,1.0
79,119.0,124.0,1.0
80,520.0,297.0,1.0
81,149.0,36.0,1.0
82,333.0,181.0,1.0
83,309.0,325.0,1.0
84,552.0,33.0,1.0
85,581.0,278.0,1.0
86,88.0,68.0,1.0
87,214.0,405.0,1.0
88,288.0,334.0,1.0
89,650.0,359.0,1.0
90,578.0,183.0,1.0
91,193.0,49.0,1.0
92,351.0,352.0,1.0
93,217.0,405.0,1.0
94,591.0,145.0,1.0
95,248.0,67.0,1.0
96,1.0,319.0,1.0
97,438.0,20.0,1.0
98,413.0,273.0,1.0
99,47.0,314.0,1.0
100,204.0,124.0,1.0
101,470.0,331.0,1.0
102,562.0,99.0,1.0
103,367.0,181.0,1.0
104,304.0,94.0,1.0
105,500.0,1.0,1.0
106,400.0,18.0,1.0
107,19.0,283.0,1.0
108,459.0,147.0,1.0
109,420.0,122.0,1.0
110,275.0,147.0,1.0
111,331.0,163.0,1.0
112,164.0,351.0,1.0
113,595.0,358.0,1.0
114,146.0,69.0,1.0
115,296.0,43.0,1.0
116,52.0,322.0,1.0
117,7.0,230.0,1.0
118,105.0,136.0,1.0
119,617.0,135.0,1.0
120,490.0,369.0,1.0
121,244.0,280.0,1.0
122,438.0,280.0,1.0
123,430.0,107.0,1.0
124,98.0,124.0,1.0
125,395.0,347.0,1.0
126,321.0,124.0,1.0
127,443.0,362.0,1.0
128,500.0,133.0,1.0
129,83.0,130.0,1.0
130,153.0,360.0,1.0
131,200.0,69.0,1.0
132,40.0,117.0,1.0
133,312.0,99.0,1.0
134,444.0,124.0,1.0
135,367.0,73.0,1.0
136,547.0,314.0,1.0
137,109.0,73.0,1.0
138,556.0,280.0,1.0
139,242.0,8.0,1.0
140,26.0,221.0,1.0
141,41.0,145.0,1.0
142,209.0,163.0,1.0
143,46.0,243.0,1.0
144,455.0,357.0,1.0
145,315.0,136.0,1.0
146,499.0,43.0,1.0
147,102.0,396.0,1.0
148,387.0,298.0,1.0
149,285.0,188.0,1.0
150,486.0,312.0,1.0
151,242.0,47.0,1.0
152,382.0,274.0,1.0
153,409.0,124.0,1.0
154,16.0,202.0,1.0
155,616.0,183.0,1.0
156,633.0,355.0,1.0
157,81.0,28.0,1.0
158,163.0,254.0,1.0
159,309.0,122.0,1.0
160,184.0,133.0,1.0
161,214.0,94.0,1.0
162,439.0,100.0,1.0
163,329.0,183.0,1.0
164,241.0,257.0,1.0
165,305.0,405.0,1.0
166,61.0,44.0,1.0
167,502.0,93.0,1.0
168,571.0,224.0,1.0
169,611.0,199.0,1.0
170,145.0,312.0,1.0
171,97.0,382.0,1.0
172,252.0,73.0,1.0
173,174.0,85.0,1.0
174,162.0,43.0,1.0
175,477.0,76.0,1.0
176,490.0,357.0,1.0
177,297.0,342.0,1.0
178,491.0,235.0,1.0
179,574.0,8.0,1.0
180,150.0,183.0,1.0
181,356.0,89.0,1.0
182,521.0,362.0,1.0
183,223.0,131.0,1.0
184,315.0,344.0,1.0
185,519.0,49.0,1.0
186,98.0,405.0,1.0
187,275.0,175.0,1.0
188,83.0,132.0,1.0
189,422.0,18.0,1.0
190,90.0,272.0,1.0
191,161.0,135.0,1.0
192,101.0,89.0,1.0
193,252.0,128.0,1.0
194,625.0,371.0,1.0
195,19.0,220.0,1.0
196,246.0,163.0,1.0
197,2.0,107.0,1.0
198,478.0,119.0,1.0
199,248.0,138.0,1.0
200,288.0,68.0,1.0
201,382.0,280.0,1.0
202,351.0,385.0,1.0
203,227.0,280.0,1.0
204,72.0,364.0,1.0
205,143.0,182.0,1.0
206,575.0,140.0,1.0
207,308.0,117.0,1.0
208,293.0,359.0,1.0
209,307.0,124.0,1.0
210,267.0,280.0,1.0
211,402.0,251.0,1.0
212,489.0,247.0,1.0
213,464.0,3.0,1.0
214,70.0,280.0,1.0
215,315.0,134.0,1.0
216,493.0,375.0,1.0
217,275.0,362.0,1.0
218,114.0,21.0,1.0
219,657.0,343.0,1.0
220,475.0,318.0,1.0
221,451.0,322.0,1.0
222,315.0,370.0,1.0
223,298.0,24.0,1.0
224,91.0,99.0,1.0
225,275.0,186.0,1.0
226,369.0,228.0,1.0
227,660.0,331.0,1.0
228,117.0,358.0,1.0
229,625.0,359.0,1.0
230,306.0,331.0,1.0
231,356.0,117.0,1.0
232,69.0,27.0,1.0
233,90.0,114.0,1.0
234,454.0,124.0,1.0
235,430.0,89.0,1.0
236,37.0,405.0,1.0
237,536.0,131.0,1.0
238,450.0,331.0,1.0
239,455.0,37.0,1.0
240,169.0,152.0,1.0
241,284.0,25.0,1.0
242,232.0,351.0,1.0
243,305.0,219.0,1.0
244,72.0,136.0,1.0
245,479.0,18.0,1.0
246,292.0,405.0,1.0
247,485.0,28.0,1.0
248,104.0,243.0,1.0
249,293.0,358.0,1.0
250,150.0,358.0,1.0
251,422.0,298.0,1.0
252,133.0,153.0,1.0
253,185.0,108.0,1.0
254,326.0,262.0,1.0
255,163.0,383.0,1.0
256,377.0,37.0,1.0
257,131.0,163.0,1.0
258,506.0,120.0,1.0
259,308.0,289.0,1.0
260,109.0,236.0,1.0
261,210.0,149.0,1.0
262,348.0,212.0,1.0
263,634.0,347.0,1.0
264,358.0,313.0,1.0
265,574.0,311.0,1.0
266,443.0,371.0,1.0
267,638.0,170.0,1.0
268,455.0,10.0,1.0
269,387.0,356.0,1.0
270,312.0,305.0,1.0
271,470.0,280.0,1.0
272,12.0,268.0,1.0
273,442.0,88.0,1.0
274,356.0,103.0,1.0
275,433.0,371.0,1.0
276,470.0,246.0,1.0
277,591.0,269.0,1.0
278,19.0,366.0,1.0
279,453.0,272.0,1.0
280,581.0,112.0,1.0
281,400.0,145.0,1.0
282,571.0,44.0,1.0
283,343.0,362.0,1.0
284,362.0,298.0,1.0
285,227.0,331.0,1.0
286,94.0,153.0,1.0
287,312.0,311.0,1.0
288,336.0,199.0,1.0
289,486.0,259.0,1.0
290,624.0,316.0,1.0
291,652.0,347.0,1.0
292,166.0,344.0,1.0
293,402.0,182.0,1.0
294,600.0,88.0,1.0
295,93.0,213.0,1.0
296,271.0,231.0,1.0
297,501.0,396.0,1.0
298,245.0,117.0,1.0
299,387.0,97.0,1.0
300,263.0,141.0,1.0
301,496.0,149.0,1.0
302,254.0,370.0,1.0
303,486.0,364.0,1.0
304,316.0,133.0,1.0
305,305.0,278.0,1.0
306,19.0,174.0,1.0
307,547.0,131.0,1.0
308,72.0,312.0,1.0
309,551.0,390.0,1.0
310,455.0,408.0,1.0
311,230.0,244.0,1.0
312,343.0,371.0,1.0
313,35.0,297.0,1.0
314,573.0,69.0,1.0
315,213.0,151.0,1.0
316,642.0,399.0,1.0
317,399.0,276.0,1.0
318,103.0,379.0,1.0
319,244.0,277.0,1.0
320,275.0,245.0,1.0
321,310.0,407.0,1.0
322,555.0,345.0,1.0
323,620.0,351.0,1.0
324,115.0,362.0,1.0
325,401.0,130.0,1.0
326,166.0,370.0,1.0
327,177.0,24.0,1.0
328,75.0,378.0,1.0
329,19.0,9.0,1.0
330,170.0,359.0,1.0
331,471.0,376.0,1.0
332,227.0,272.0,1.0
333,343.0,222.0,1.0
334,576.0,336.0,1.0
335,498.0,295.0,1.0
336,401.0,3.0,1.0
337,307.0,251.0,1.0
338,528.0,244.0,1.0
339,643.0,370.0,1.0
340,226.0,323.0,1.0
341,14.0,61.0,1.0
342,63.0,37.0,1.0
343,136.0,69.0,1.0
344,142.0,357.0,1.0
345,150.0,322.0,1.0
346,390.0,359.0,1.0
347,275.0,156.0,1.0
348,369.0,199.0,1.0
349,488.0,247.0,1.0
350,407.0,316.0,1.0
351,201.0,382.0,1.0
352,446.0,359.0,1.0
353,643.0,390.0,1.0
354,548.0,190.0,1.0
355,146.0,89.0,1.0
356,447.0,83.0,1.0
357,461.0,352.0,1.0
358,357.0,401.0,1.0
359,11.0,128.0,1.0
360,413.0,388.0,1.0
361,625.0,347.0,1.0
362,478.0,167.0,1.0
363,363.0,36.0,1.0
364,314.0,181.0,1.0
365,110.0,318.0,1.0
366,282.0,92.0,1.0
367,239.0,358.0,1.0
368,505.0,272.0,1.0
369,576.0,328.0,1.0
370,383.0,371.0,1.0
371,559.0,309.0,1.0
372,52.0,188.0,1.0
373,178.0,163.0,1.0
374,553.0,125.0,1.0
375,170.0,368.0,1.0
376,588.0,134.0,1.0
377,455.0,369.0,1.0
378,472.0,400.0,1.0
379,375.0,362.0,1.0
380,658.0,358.0,1.0
381,35.0,267.0,1.0
382,99.0,8.0,1.0
383,113.0,125.0,1.0
384,146.0,396.0,1.0
385,301.0,404.0,1.0
386,72.0,259.0,1.0
387,161.0,344.0,1.0
388,102.0,89.0,1.0
389,413.0,293.0,1.0
390,387.0,5.0,1.0
391,584.0,115.0,1.0
392,511.0,347.0,1.0
393,319.0,358.0,1.0
394,453.0,237.0,1.0
395,230.0,243.0,1.0
396,447.0,79.0,1.0
397,576.0,373.0,1.0
398,194.0,7.0,1.0
399,272.0,84.0,1.0
400,518.0,144.0,1.0
401,572.0,112.0,1.0
402,209.0,18.0,1.0
403,275.0,371.0,1.0
404,427.0,267.0,1.0
405,170.0,347.0,1.0
406,97.0,404.0,1.0
407,400.0,401.0,1.0
408,263.0,99.0,1.0
409,486.0,390.0,1.0
410,239.0,99.0,1.0
411,330.0,76.0,1.0
412,375.0,347.0,1.0
413,266.0,21.0,1.0
414,456.0,24.0,1.0
415,237.0,181.0,1.0
416,153.0,158.0,1.0
417,1.0,299.0,1.0
418,36.0,128.0,1.0
419,154.0,360.0,1.0
420,437.0,48.0,1.0
421,420.0,99.0,1.0
422,242.0,149.0,1.0
423,326.0,210.0,1.0
424,166.0,364.0,1.0
425,36.0,99.0,1.0
426,388.0,99.0,1.0
427,575.0,24.0,1.0
428,405.0,99.0,1.0
429,238.0,365.0,1.0
430,397.0,188.0,1.0
431,139.0,28.0,1.0
432,268.0,147.0,1.0
433,297.0,354.0,1.0
434,371.0,7.0,1.0
435,451.0,183.0,1.0
436,258.0,405.0,1.0
437,594.0,124.0,1.0
438,580.0,125.0,1.0
439,120.0,311.0,1.0
440,493.0,376.0,1.0
441,88.0,124.0,1.0
442,148.0,364.0,1.0
443,269.0,405.0,1.0
444,168.0,224.0,1.0
445,154.0,341.0,1.0
446,569.0,199.0,1.0
447,147.0,382.0,1.0
448,42.0,404.0,1.0
449,326.0,67.0,1.0
450,275.0,5.0,1.0
451,203.0,40.0,1.0
452,330.0,64.0,1.0
453,384.0,280.0,1.0
454,23.0,328.0,1.0
455,301.0,308.0,1.0
456,93.0,59.0,1.0
457,452.0,11.0,1.0
458,1.0,39.0,1.0
459,324.0,43.0,1.0
460,189.0,174.0,1.0
461,462.0,257.0,1.0
462,268.0,27.0,1.0
463,83.0,2.0,1.0
464,541.0,112.0,1.0
465,440.0,124.0,1.0
466,335.0,359.0,1.0
467,163.0,215.0,1.0
468,169.0,210.0,1.0
469,215.0,405.0,1.0
470,358.0,51.0,1.0
471,397.0,196.0,1.0
472,268.0,347.0,1.0
473,329.0,322.0,1.0
474,56.0,99.0,1.0
475,413.0,387.0,1.0
476,402.0,124.0,1.0
477,186.0,128.0,1.0
478,24.0,378.0,1.0
479,493.0,128.0,1.0
480,86.0,378.0,1.0
481,12.0,93.0,1.0
482,117.0,347.0,1.0
483,136.0,289.0,1.0
484,157.0,371.0,1.0
485,255.0,146.0,1.0
486,135.0,174.0,1.0
487,275.0,208.0,1.0
488,252.0,302.0,1.0
489,71.0,404.0,1.0
490,304.0,405.0,1.0
491,463.0,117.0,1.0
492,183.0,124.0,1.0
493,227.0,247.0,1.0
494,324.0,41.0,1.0
495,620.0,153.0,1.0
496,502.0,301.0,1.0
497,662.0,327.0,1.0
498,398.0,94.0,1.0
499,662.0,326.0,1.0
500,384.0,114.0,1.0
501,362.0,316.0,1.0
502,49.0,262.0,1.0
503,14.0,282.0,1.0
504,292.0,404.0,1.0
505,624.0,48.0,1.0
506,413.0,199.0,1.0
507,307.0,129.0,1.0
508,198.0,3.0,1.0
509,122.0,124.0,1.0
510,596.0,65.0,1.0
511,166.0,212.0,1.0
512,258.0,124.0,1.0
513,457.0,128.0,1.0
514,247.0,128.0,1.0
515,163.0,217.0,1.0
516,467.0,183.0,1.0
517,498.0,187.0,1.0
518,175.0,55.0,1.0
519,307.0,405.0,1.0
520,224.0,307.0,1.0
521,463.0,379.0,1.0
522,406.0,99.0,1.0
523,161.0,259.0,1.0
524,339.0,308.0,1.0
525,182.0,359.0,1.0
526,604.0,238.0,1.0
527,580.0,149.0,1.0
528,332.0,371.0,1.0
529,193.0,133.0,1.0
530,411.0,99.0,1.0
531,165.0,76.0,1.0
532,551.0,259.0,1.0
533,244.0,156.0,1.0
534,84.0,359.0,1.0
535,609.0,322.0,1.0
536,457.0,376.0,1.0
537,552.0,225.0,1.0
538,486.0,357.0,1.0
539,268.0,208.0,1.0
540,52.0,183.0,1.0
541,369.0,316.0,1.0
542,278.0,221.0,1.0
543,313.0,130.0,1.0
544,99.0,228.0,1.0
545,199.0,63.0,1.0
546,284.0,257.0,1.0
547,471.0,181.0,1.0
548,525.0,146.0,1.0
549,193.0,243.0,1.0
550,195.0,99.0,1.0
551,517.0,190.0,1.0
552,268.0,359.0,1.0
553,654.0,362.0,1.0
554,200.0,334.0,1.0
555,273.0,341.0,1.0
556,387.0,402.0,1.0
557,311.0,7.0,1.0
558,138.0,309.0,1.0
559,36.0,392.0,1.0
560,31.0,160.0,1.0
561,260.0,21.0,1.0
562,387.0,355.0,1.0
563,434.0,117.0,1.0
564,225.0,131.0,1.0
565,569.0,293.0,1.0
566,241.0,222.0,1.0
567,518.0,280.0,1.0
568,586.0,18.0,1.0
569,515.0,80.0,1.0
570,493.0,181.0,1.0
571,464.0,182.0,1.0
572,493.0,89.0,1.0
573,160.0,40.0,1.0
574,643.0,259.0,1.0
575,241.0,272.0,1.0
576,118.0,100.0,1.0
577,193.0,125.0,1.0
578,26.0,405.0,1.0
579,391.0,297.0,1.0
580,516.0,91.0,1.0
581,358.0,273.0,1.0
582,365.0,37.0,1.0
583,164.0,196.0,1.0
584,397.0,124.0,1.0
585,70.0,272.0,1.0
586,105.0,134.0,1.0
587,241.0,151.0,1.0
588,287.0,199.0,1.0
589,42.0,382.0,1.0
590,648.0,11.0,1.0
591,254.0,312.0,1.0
592,275.0,106.0,1.0
593,383.0,347.0,1.0
594,509.0,303.0,1.0
595,146.0,334.0,1.0
596,503.0,362.0,1.0
597,55.0,401.0,1.0
598,493.0,350.0,1.0
599,641.0,399.0,1.0
600,184.0,99.0,1.0
601,167.0,362.0,1.0
602,610.0,376.0,1.0
603,29.0,164.0,1.0
604,287.0,240.0,1.0
605,136.0,68.0,1.0
606,14.0,94.0,1.0
607,559.0,364.0,1.0
608,407.0,188.0,1.0
609,433.0,359.0,1.0
610,171.0,124.0,1.0
611,343.0,183.0,1.0
612,161.0,134.0,1.0
613,227.0,274.0,1.0
614,630.0,267.0,1.0
615,568.0,134.0,1.0
616,493.0,103.0,1.0
617,468.0,155.0,1.0
618,354.0,73.0,1.0
619,267.0,239.0,1.0
620,40.0,73.0,1.0
621,439.0,16.0,1.0
622,621.0,89.0,1.0
623,145.0,259.0,1.0
624,70.0,247.0,1.0
625,470.0,345.0,1.0
626,135.0,89.0,1.0
627,631.0,332.0,1.0
628,299.0,88.0,1.0
629,152.0,332.0,1.0
630,226.0,76.0,1.0
631,551.0,117.0,1.0
632,109.0,99.0,1.0
633,264.0,147.0,1.0
634,427.0,332.0,1.0
635,492.0,6.0,1.0
636,316.0,125.0,1.0
637,202.0,256.0,1.0
638,468.0,113.0,1.0
639,397.0,251.0,1.0
640,412.0,382.0,1.0
641,623.0,99.0,1.0
642,241.0,208.0,1.0
643,598.0,331.0,1.0
644,453.0,280.0,1.0
645,187.0,169.0,1.0
646,18.0,30.0,1.0
647,227.0,208.0,1.0
648,297.0,10.0,1.0
649,421.0,138.0,1.0
650,571.0,19.0,1.0
651,260.0,138.0,1.0
652,292.0,28.0,1.0
653,164.0,405.0,1.0
654,502.0,282.0,1.0
655,430.0,328.0,1.0
656,141.0,401.0,1.0
657,331.0,14.0,1.0
658,169.0,89.0,1.0
659,238.0,228.0,1.0
660,335.0,358.0,1.0
661,569.0,352.0,1.0
662,108.0,99.0,1.0
663,299.0,405.0,1.0
664,49.0,125.0,1.0
665,183.0,311.0,1.0
666,646.0,269.0,1.0
667,268.0,55.0,1.0
668,346.0,347.0,1.0
669,449.0,306.0,1.0
670,32.0,405.0,1.0
671,495.0,81.0,1.0
672,564.0,68.0,1.0
673,607.0,124.0,1.0
674,636.0,392.0,1.0
675,248.0,124.0,1.0
676,208.0,392.0,1.0
677,205.0,259.0,1.0
678,476.0,351.0,1.0
679,41.0,124.0,1.0
680,482.0,124.0,1.0
681,461.0,1.0,1.0
682,164.0,8.0,1.0
683,1.0,171.0,1.0
684,470.0,237.0,1.0
685,651.0,358.0,1.0
686,516.0,80.0,1.0
687,132.0,89.0,1.0
688,138.0,312.0,1.0
689,383.0,89.0,1.0
690,170.0,200.0,1.0
691,588.0,1.0,1.0
692,152.0,396.0,1.0
693,393.0,69.0,1.0
694,470.0,208.0,1.0
695,590.0,149.0,1.0
696,369.0,69.0,1.0
697,363.0,328.0,1.0
698,429.0,128.0,1.0
699,489.0,274.0,1.0
700,368.0,183.0,1.0
701,358.0,34.0,1.0
702,239.0,89.0,1.0
703,502.0,61.0,1.0
704,324.0,318.0,1.0
705,167.0,358.0,1.0
706,453.0,331.0,1.0
707,295.0,117.0,1.0
708,583.0,172.0,1.0
709,324.0,40.0,1.0
710,164.0,182.0,1.0
711,643.0,309.0,1.0
712,33.0,247.0,1.0
713,499.0,318.0,1.0
714,83.0,129.0,1.0
715,584.0,89.0,1.0
716,574.0,99.0,1.0
717,176.0,224.0,1.0
718,460.0,62.0,1.0
719,448.0,328.0,1.0
720,307.0,182.0,1.0
721,145.0,364.0,1.0
722,643.0,135.0,1.0
723,361.0,124.0,1.0
724,103.0,289.0,1.0
725,299.0,124.0,1.0
726,80.0,71.0,1.0
727,250.0,405.0,1.0
728,245.0,74.0,1.0
729,183.0,405.0,1.0
730,287.0,161.0,1.0
731,654.0,358.0,1.0
732,568.0,1.0,1.0
733,85.0,40.0,1.0
734,455.0,364.0,1.0
735,160.0,41.0,1.0
736,576.0,325.0,1.0
737,50.0,379.0,1.0
738,458.0,12.0,1.0
739,581.0,219.0,1.0
740,609.0,183.0,1.0
